Package,Source,License
github.com/dgraph-io/badger/v3,https://github.com/dgraph-io/badger/blob/master/v3/LICENSE,Apache-2.0
github.com/golang/protobuf/proto,https://github.com/golang/protobuf/blob/master/proto/LICENSE,BSD-3-Clause
github.com/dgraph-io/ristretto/z,https://github.com/dgraph-io/ristretto/blob/master/z/LICENSE,MIT
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize/blob/master/LICENSE,MIT
github.com/golang/groupcache/lru,https://github.com/golang/groupcache/blob/master/lru/LICENSE,Apache-2.0
github.com/rs/zerolog,https://github.com/rs/zerolog/blob/master/LICENSE,MIT
github.com/andybalholm/cascadia,https://github.com/andybalholm/cascadia/blob/master/LICENSE,BSD-2-Clause
gopkg.in/yaml.v2,Unknown,Apache-2.0
github.com/docker/go-units,https://github.com/docker/go-units/blob/master/LICENSE,Apache-2.0
github.com/google/uuid,https://github.com/google/uuid/blob/master/LICENSE,BSD-3-Clause
github.com/DataDog/zstd,https://github.com/DataDog/zstd/blob/master/LICENSE,BSD-3-Clause
go.opencensus.io,Unknown,Apache-2.0
github.com/emersion/go-sasl,https://github.com/emersion/go-sasl/blob/master/LICENSE,MIT
google.golang.org/protobuf,Unknown,BSD-3-Clause
github.com/cespare/xxhash,https://github.com/cespare/xxhash/blob/master/LICENSE.txt,MIT
github.com/pkg/errors,https://github.com/pkg/errors/blob/master/LICENSE,BSD-2-Clause
golang.org/x/net,Unknown,BSD-3-Clause
github.com/emersion/go-smtp,https://github.com/emersion/go-smtp/blob/master/LICENSE,MIT
golang.org/x/sys,Unknown,BSD-3-Clause
github.com/google/flatbuffers/go,https://github.com/google/flatbuffers/blob/master/go/LICENSE.txt,Apache-2.0
github.com/dgraph-io/ristretto,https://github.com/dgraph-io/ristretto/blob/master/LICENSE,Apache-2.0
github.com/golang/snappy,https://github.com/golang/snappy/blob/master/LICENSE,BSD-3-Clause
github.com/flashmob/go-guerrilla/tests/testcert,https://github.com/flashmob/go-guerrilla/blob/master/tests/testcert/LICENSE,MIT
